District,Code
Anantapur,AP01
Chittoor,AP02
East Godavari,AP03
Guntur,AP04
YSR,AP13
Krishna,AP05
Kurnool,AP06
Prakasam,AP07
Sri Potti Sriramulu Nellore,AP08
Srikakulam,AP09
Visakhapatnam,AP10
Vizianagaram,AP11
West Godavari,AP12
Anjaw,AR01
Changlang,AR02
East Kameng,AR03
East Siang,AR04
Kamle,AR05
Kra Daadi,AR06
Kurung Kumey,AR07
Lepa Rada,AR08
Lohit,AR09
Longding,AR10
Lower Dibang Valley,AR11
Lower Siang,AR12
Lower Subansiri,AR13
Namsai,AR14
Pakke-Kessang,AR15
Papum Pare,AR16
Shi Yomi,AR17
Siang,AR18
Tawang,AR19
Tirap,AR20
Upper Dibang Valley,AR21
Upper Siang,AR22
Upper Subansiri,AR23
West Kameng,AR24
West Siang,AR25
Baksa,AS02
Bajali,AS01
Barpeta,AS03
Bishwanath,AS04
Bongaigaon,AS05
Cachar,AS06
Charaideo,AS07
Chirang,AS08
Darrang,AS09
Dhemaji,AS10
Dhubri,AS11
Dibrugarh,AS12
Dima Hasao,AS13
Goalpara,AS14
Golaghat,AS15
Hailakandi,AS16
Hojai,AS17
Jorhat,AS18
Kamrup,AS19
Kamrup Metropolitan,AS20
Karbi Anglong,AS21
Karimganj,AS22
Kokrajhar,AS23
Lakhimpur,AS24
Majuli,AS25
Morigaon,AS26
Nagaon,AS27
Nalbari,AS28
Sivasagar,AS29
South Salmara,AS31
Sonitpur,AS30
Tinsukia,AS32
Udalguri,AS33
West Karbi Anglong,AS34
Araria,BR01
Arwal,BR02
Aurangabad,BR03
Banka,BR04
Begusarai,BR05
Bhagalpur,BR06
Bhojpur,BR07
Buxar,BR08
Darbhanga,BR09
East Champaran,BR10
Gaya,BR11
Gopalganj,BR12
Jamui,BR13
Jehanabad,BR14
Kaimur,BR15
Katihar,BR16
Khagaria,BR17
Kishanganj,BR18
Lakhisarai,BR19
Madhepura,BR20
Madhubani,BR21
Munger,BR22
Muzaffarpur,BR23
Nalanda,BR24
Nawada,BR25
Patna,BR26
Purnia,BR27
Rohtas,BR28
Saharsa,BR29
Samastipur,BR30
Saran,BR31
Sheikhpura,BR32
Sheohar,BR33
Sitamarhi,BR34
Siwan,BR35
Supaul,BR36
Vaishali,BR37
West Champaran,BR38
Balod,CG01
Baloda Bazar,CG02
Balrampur,CG03
Bastar,CG04
Bemetara,CG05
Bijapur,CG06
Bilaspur,CG07
Dantewada,CG08
Dhamtari,CG09
Durg,CG10
Gariaband,CG11
Gaurella-Pendra-Marwahi,CG12
Janjgir-Champa,CG13
Jashpur,CG14
Kabirdham,CG15
Kanker,CG16
Kondagaon,CG17
Korba,CG18
Koriya,CG19
Mahasamund,CG20
Mungeli,CG21
Narayanpur,CG22
Raigarh,CG23
Raipur,CG24
Rajnandgaon,CG25
Sukma,CG26
Surajpur,CG27
Surguja,CG28
North Goa,GA01
South Goa,GA02
Ahmedabad,GJ01
Amreli,GJ02
Anand,GJ03
Aravalli,GJ04
Banaskantha,GJ05
Bharuch,GJ06
Bhavnagar,GJ07
Botad,GJ08
Chhota Udepur,GJ09
Dahod,GJ10
Dang,GJ11
Devbhoomi Dwarka,GJ12
Gandhinagar,GJ13
Gir Somnath,GJ14
Jamnagar,GJ15
Junagadh,GJ16
Kheda,GJ17
Kutch,GJ18
Mahisagar,GJ19
Mehsana,GJ20
Morbi,GJ21
Narmada,GJ22
Navsari,GJ23
Panchmahal,GJ24
Patan,GJ25
Porbandar,GJ26
Rajkot,GJ27
Sabarkantha,GJ28
Surat,GJ29
Surendranagar,GJ30
Tapi,GJ31
Vadodara,GJ32
Valsad,GJ33
Ambala,HR01
Bhiwani,HR02
Charkhi Dadri,HR03
Faridabad,HR04
Fatehabad,HR05
Gurgaon,HR06
Hissar,HR07
Jhajjar,HR08
Jind,HR09
Kaithal,HR10
Karnal,HR11
Kurukshetra,HR12
Mahendragarh,HR13
Nuh,HR14
Palwal,HR15
Panchkula,HR16
Panipat,HR17
Rewari,HR18
Rohtak,HR19
Sirsa,HR20
Sonipat,HR21
Yamuna Nagar,HR22
Bilaspur,HP01
Chamba,HP02
Hamirpur,HP03
Kangra,HP04
Kinnaur,HP05
Kullu,HP06
Lahaul and Spiti,HP07
Mandi,HP08
Shimla,HP09
Sirmaur,HP10
Solan,HP11
Una,HP12
Bokaro,JH01
Chatra,JH02
Deoghar,JH03
Dhanbad,JH04
Dumka,JH05
East Singhbhum,JH06
Garhwa,JH07
Giridih,JH08
Godda,JH09
Gumla,JH10
Hazaribag,JH11
Jamtara,JH12
Khunti,JH13
Koderma,JH14
Latehar,JH15
Lohardaga,JH16
Pakur,JH17
Palamu,JH18
Ramgarh,JH19
Ranchi,JH20
Sahibganj,JH21
Seraikela Kharsawan,JH22
Simdega,JH23
West Singhbhum,JH24
Bagalkot,KA01
Ballari,KA02
Belgaum,KA05
Bangalore Rural,KA03
Bangalore Urban,KA04
Bidar,KA06
Bijapur,KA07
Chamarajanagara,KA08
Chikkaballapura,KA09
Chikmagalur,KA10
Chitradurga,KA11
Dakshina Kannada,KA12
Davanagere,KA13
Dharwad,KA14
Gadag,KA15
Gulbarga,KA16
Hassan,KA17
Haveri,KA18
Kodagu,KA19
Kolar,KA20
Koppal,KA21
Mandya,KA22
Mysore,KA23
Raichur,KA24
Ramanagara,KA25
Shimoga,KA26
Tumakuru,KA27
Udupi,KA28
Uttara Kannada,KA29
Vijayanagara,KA30
Yadgir,KA31
Alappuzha,KL01
Ernakulam,KL02
Idukki,KL03
Kannur,KL04
Kasaragod,KL05
Kollam,KL06
Kottayam,KL07
Kozhikode,KL08
Malappuram,KL09
Palakkad,KL10
Pathanamthitta,KL11
Thrissur,KL13
Thiruvananthapuram,KL12
Wayanad,KL14
Agar Malwa,MP01
Alirajpur,MP02
Anuppur,MP03
Ashok Nagar,MP04
Balaghat,MP05
Barwani,MP06
Betul,MP07
Bhind,MP08
Bhopal,MP09
Burhanpur,MP10
Chachaura,MP11
Chhatarpur,MP12
Chhindwara,MP13
Damoh,MP14
Datia,MP15
Dewas,MP16
Dhar,MP17
Dindori,MP18
Guna,MP19
Gwalior,MP20
Harda,MP21
Hoshangabad,MP22
Indore,MP23
Jabalpur,MP24
Jhabua,MP25
Katni,MP26
Khandwa (East Nimar),MP27
Khargone (West Nimar),MP28
Maihar,MP29
Mandla,MP30
Mandsaur,MP31
Morena,MP32
Narsinghpur,MP34
Nagda,MP33
Neemuch,MP35
Niwari,MP36
Panna,MP37
Raisen,MP38
Rajgarh,MP39
Ratlam,MP40
Rewa,MP41
Sagar,MP42
Satna,MP43
Sehore,MP44
Seoni,MP45
Shahdol,MP46
Shajapur,MP47
Sheopur,MP48
Shivpuri,MP49
Sidhi,MP50
Singrauli,MP51
Tikamgarh,MP52
Ujjain,MP53
Umaria,MP54
Vidisha,MP55
Ahmednagar,MH01
Akola,MH02
Amravati,MH03
Aurangabad,MH04
Beed,MH05
Bhandara,MH06
Buldhana,MH07
Chandrapur,MH08
Dhule,MH09
